masking_ratio,days_given,days_predicted,model_type,train_bpm_loss,train_steps_loss,test_bpm_loss,test_steps_loss,num_subjects,train_anxiety_loss,test_anxiety_loss,test_anxiety_balanced_accuracy,test_anxiety_accuracy,test_anxiety_f1,test_anxiety_precision,test_anxiety_recall,test_anxiety_auc,train_stress_loss,test_stress_loss,test_stress_balanced_accuracy,test_stress_accuracy,test_stress_f1,test_stress_precision,test_stress_recall,test_stress_auc
10,3,1,cnn,4.904003836171618,7277.8680016914,4.948614096935884,7424.343129099151,81,0.006381513757483142,1.8828310384616302,0.654320987654321,0.654320987654321,0.06172839506172839,0.06172839506172839,0.06172839506172839,,0.0138023875492518,1.7904281632233314,0.6419753086419753,0.6419753086419753,0.08641975308641975,0.08641975308641975,0.08641975308641975,
10,3,1,nn,6.3651465879546265,2977.880166035719,4.571714048032407,3624.262713396991,81,0.2794719451855881,0.7348027123586723,0.7407407407407407,0.7407407407407407,0.06172839506172839,0.06172839506172839,0.06172839506172839,,0.2747500673982321,0.9104923055403762,0.6172839506172839,0.6172839506172839,0.04938271604938271,0.04938271604938271,0.04938271604938271,
10,3,5,cnn,5.230242205254825,8100.419074290083,4.881136997246448,8085.9660403404705,81,0.026132731553598614,1.4996471379076024,0.6093621399176955,0.6444444444444445,0.15374289633548893,0.16790123456790126,0.16893004115226337,0.5059523809523809,0.02601213598982849,1.4926596467088205,0.6099794238683127,0.6543209876543209,0.2351067999216147,0.25205761316872427,0.26954732510288065,0.5242424242424243
10,3,5,nn,6.732293995074283,3177.515145384235,4.594736641571846,3286.9612566159094,81,0.3880366962606119,0.5330575124303084,0.7167695473251029,0.7506172839506173,0.1644914756025867,0.18189300411522635,0.18765432098765433,0.47222222222222227,0.4179728659559734,0.645899313967675,0.6258230452674897,0.6938271604938272,0.18443072702331964,0.2045267489711934,0.19238683127572015,0.5060606060606061
10,3,7,cnn,5.225475505178357,8101.021938747828,4.602243376366886,8017.2193769290125,81,0.021578214277035657,1.417972570452577,0.6211493239271018,0.6790123456790123,0.17035522776263518,0.20764256319811877,0.17942386831275717,0.5253086419753087,0.029066076251587622,1.6056683903580165,0.5304820693709582,0.6031746031746031,0.21931662302032673,0.2465020576131687,0.2444444444444444,0.4838383838383839
10,3,7,nn,6.731715024744041,3524.3277898089877,4.560931988704351,3391.8784714687017,81,0.3899338696287215,0.6124570997040925,0.6182686654908878,0.7001763668430334,0.09827285197655568,0.09382716049382715,0.1176954732510288,0.504320987654321,0.4313533049622112,0.6885821396760918,0.5615373309817755,0.6578483245149912,0.20152392189429227,0.21857730746619633,0.2296296296296296,0.5171717171717172
10,3,14,cnn,5.296489442817468,8703.900029939878,7.116729327190069,8654.944170163002,81,0.04694045373785398,1.3146087302346379,0.5805756828904978,0.6878306878306878,0.23316189601019321,0.2511177437103363,0.2572243600021378,0.5053000716603657,0.04567106014250303,1.5380670227466817,0.5323801370097666,0.6261022927689595,0.2788201201771893,0.3128353813538998,0.29256278700723143,0.4793068124526051
10,3,14,nn,6.2256882033720915,5077.129370920943,4.467389183279908,5153.45327645761,81,0.3613964228114042,0.8002439600935398,0.5730478883256661,0.7063492063492064,0.17279978881909253,0.1881022955097029,0.19835168261094188,0.4888938296763927,0.3985459687308374,0.8674705696326716,0.5313442387516462,0.634920634920635,0.21682047081275,0.24040671262893487,0.24642144549551956,0.4916043295691045
10,5,1,cnn,4.677078175618325,5863.272340907973,4.948386816330898,6299.067117573302,81,0.00039158071969003553,1.8271660859851788,0.7037037037037037,0.7037037037037037,0.07407407407407407,0.07407407407407407,0.07407407407407407,,0.0006708782109618133,2.3257986060347275,0.6419753086419753,0.6419753086419753,0.07407407407407407,0.07407407407407407,0.07407407407407407,
10,5,1,nn,6.213008142204441,3101.1982639516823,4.168173142421392,3718.0486683786653,81,0.1474317409106322,1.0174358497247284,0.7283950617283951,0.7283950617283951,0.08641975308641975,0.08641975308641975,0.08641975308641975,,0.16050434600296734,1.2315122252948192,0.6296296296296297,0.6296296296296297,0.08641975308641975,0.08641975308641975,0.08641975308641975,
