,test_anxiety_balanced_accuracy,test_anxiety_balanced_accuracy,test_anxiety_f1,test_anxiety_f1,test_anxiety_auc,test_anxiety_auc,test_stress_balanced_accuracy,test_stress_balanced_accuracy,test_stress_f1,test_stress_f1,test_stress_auc,test_stress_auc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
masking_ratio,,,,,,,,,,,,
10,0.64,0.052,0.14,0.051,0.491,0.043,0.587,0.051,0.189,0.069,0.514,0.024
30,0.636,0.054,0.156,0.049,0.502,0.041,0.586,0.061,0.209,0.07,0.505,0.033
50,0.652,0.073,0.146,0.046,0.503,0.032,0.595,0.056,0.196,0.082,0.51,0.038
