,test_bpm_loss,test_bpm_loss,test_steps_loss,test_steps_loss
,mean,std,mean,std
masking_ratio,,,,
10,4.7,0.56,5543.34,2037.36
30,5.32,0.77,5470.99,2099.41
50,5.74,0.72,5263.79,2296.3
