masking_ratio,days_given,days_predicted,model_type,train_bpm_loss,train_steps_loss,train_both_loss,test_bpm_loss,test_steps_loss,test_both_loss,num_subjects
10,3,1,cnn,37.24085934418157,7493.041479994536,194.84625364232946,52.332623998019386,7679.85388635706,203.2514542473687,81
10,3,1,nn,63.33058044625898,3086.4181470831722,224.0237454857846,33.647417086556004,3582.314453125,186.68821151168257,81
10,3,5,cnn,43.49600982862245,8026.639788843478,201.54770616445032,43.019579122095934,8093.866629894869,197.66339290289233,81
10,3,5,nn,73.06633030681454,3228.1423275794514,228.2775672159077,31.626051442858614,3407.1496182665414,186.27141175446687,81
10,3,7,cnn,50.972989251093615,8066.943855568214,206.2505886721513,42.466222477547916,8002.9620843581215,190.77606568513093,81
10,3,7,nn,73.58236204008017,3554.5248026906706,227.87221122867288,34.17744646248994,3731.226606204186,186.76239381013093,81
10,3,14,cnn,88.45319457505467,8858.373324170525,236.4628317876117,208.47394888489336,8800.894103250386,359.74364414921513,81
10,3,14,nn,63.07251761675863,5480.480274216137,217.10995433163745,32.31592819425795,5624.6594645182295,182.6304995689863,81
10,5,1,cnn,34.72678081724379,5774.546862614007,193.624988216824,41.346428744754334,6374.293390721451,200.75544894183125,81
10,5,1,nn,64.38731693956586,3125.777525838216,224.6790816915379,31.044527857207957,3653.804717640818,183.64482568811488,81
10,5,5,cnn,45.48686563527143,6833.525787541896,201.97407278602506,37.49913697551798,6989.7027761200325,194.3115882402585,81
10,5,5,nn,76.1232989933265,3187.284349292394,231.62816068861218,29.772003085524947,3464.0753622172792,185.26744974395376,81
10,5,7,cnn,45.15487244197861,7196.066396328646,201.22284945735225,36.53532430272043,7164.446285294898,197.1391268129702,81
10,5,7,nn,75.49612233275738,3478.0367136511786,233.76836064813557,32.83145362065162,3612.2703910168307,188.03351875587745,81
10,5,14,cnn,43.51092686987759,8313.90898855109,195.7958263932613,38.080723580561184,8298.07145289371,189.30013475920023,76
10,5,14,nn,72.36709414239515,4433.840435095,223.7239063329864,33.122446031946886,4444.988635414525,181.69337854887308,76
10,7,1,cnn,34.07954375390653,5307.931629981523,194.8332230662122,38.351988892841305,5730.169391396605,187.65101741272727,81
10,7,1,nn,64.44682630172973,2714.127243481546,226.32441978297604,32.86598290899125,3150.1145079812886,186.7877170421459,81
10,7,5,cnn,45.42266559797059,6068.032485333981,203.576586625213,32.305678641354596,6348.874485345535,187.90865712106964,81
